ProductionLineId,LengthInM,DurationInMs,Timestamp
100000000110,0.0,120080,2022-09-08 14:52:46.354
100000000110,0.0,0,2022-09-08 14:52:46.354
100000000110,0.0,2461662,2022-09-08 15:33:48.016
100000000110,0.0,0,2022-09-08 15:33:48.016
100000000110,0.0,120080,2022-09-08 15:35:48.096
100000000110,0.0,0,2022-09-08 15:35:48.096
100000000110,0.0,2461640,2022-09-08 16:16:49.736
100000000110,0.0,0,2022-09-08 16:16:49.736
100000000110,0.0,120080,2022-09-08 16:18:49.816
100000000110,0.0,0,2022-09-08 16:18:49.816
100000000110,0.0,12608492,2022-09-08 19:48:58.308
100000000110,0.0,0,2022-09-08 19:48:58.308
100000000110,0.0,120080,2022-09-08 19:50:58.388
100000000110,0.0,0,2022-09-08 19:50:58.388
100000000110,0.0,2461662,2022-09-08 20:32:00.050
100000000110,0.0,0,2022-09-08 20:32:00.050
100000000110,0.0,120080,2022-09-08 20:34:00.130
100000000110,0.0,0,2022-09-08 20:34:00.130
100000000110,0.0,2461640,2022-09-08 21:15:01.770
100000000110,0.0,0,2022-09-08 21:15:01.770
100000000110,0.0,120080,2022-09-08 21:17:01.850
100000000110,0.0,0,2022-09-08 21:17:01.850
100000000110,0.0,2461662,2022-09-08 21:58:03.512
100000000110,0.0,0,2022-09-08 21:58:03.512
100000000110,0.0,120080,2022-09-08 22:00:03.592
100000000110,0.0,0,2022-09-08 22:00:03.592
100000000110,0.0,2461658,2022-09-08 22:41:05.250
100000000110,0.0,0,2022-09-08 22:41:05.250
100000000110,0.0,120080,2022-09-08 22:43:05.330
100000000110,0.0,0,2022-09-08 22:43:05.330
100000000110,0.0,2461665,2022-09-08 23:24:06.995
100000000110,0.0,0,2022-09-08 23:24:06.995
100000000110,0.0,120080,2022-09-08 23:26:07.075
100000000110,0.0,0,2022-09-08 23:26:07.075
100000000110,0.0,2461640,2022-09-09 00:07:08.715
100000000110,0.0,0,2022-09-09 00:07:08.715
100000000110,0.0,120080,2022-09-09 00:09:08.795
100000000110,0.0,0,2022-09-09 00:09:08.795
100000000110,0.0,2461661,2022-09-09 00:50:10.456
100000000110,0.0,0,2022-09-09 00:50:10.456
100000000110,0.0,120080,2022-09-09 00:52:10.536
100000000110,0.0,0,2022-09-09 00:52:10.536
100000000110,0.0,2461663,2022-09-09 01:33:12.199
100000000110,0.0,0,2022-09-09 01:33:12.199
100000000110,0.0,120080,2022-09-09 01:35:12.279
100000000110,0.0,0,2022-09-09 01:35:12.279
100000000110,0.0,2461640,2022-09-09 02:16:13.919
100000000110,0.0,0,2022-09-09 02:16:13.919
100000000110,0.0,120080,2022-09-09 02:18:13.999
100000000110,0.0,0,2022-09-09 02:18:13.999
100000000110,0.0,2461664,2022-09-09 02:59:15.663
100000000110,0.0,0,2022-09-09 02:59:15.663
100000000110,0.0,120080,2022-09-09 03:01:15.743
100000000110,0.0,0,2022-09-09 03:01:15.743
100000000110,0.0,2461662,2022-09-09 03:42:17.405
100000000110,0.0,0,2022-09-09 03:42:17.405
100000000110,0.0,120080,2022-09-09 03:44:17.485
100000000110,0.0,0,2022-09-09 03:44:17.485
100000000110,0.0,2461661,2022-09-09 04:25:19.146
100000000110,0.0,0,2022-09-09 04:25:19.146
100000000110,0.0,120079,2022-09-09 04:27:19.225
100000000110,0.0,0,2022-09-09 04:27:19.225
100000000110,0.0,2461641,2022-09-09 05:08:20.866
100000000110,0.0,0,2022-09-09 05:08:20.866
100000000110,0.0,120080,2022-09-09 05:10:20.946
100000000110,0.0,0,2022-09-09 05:10:20.946
100000000110,0.0,2461662,2022-09-09 05:51:22.608
100000000110,0.0,0,2022-09-09 05:51:22.608
100000000110,0.0,120080,2022-09-09 05:53:22.688
100000000110,0.0,0,2022-09-09 05:53:22.688
